,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,1,0.99,"model, task, use, propose, write, paper, system, neural, set, base","['paper', 'audio', 'play', 'hot', 'cold', 'set', 'alarm', 'pm', 'problem', 'widespread', 'adoption', 'smart', 'device', 'system', 'worsen', 'year', 'error', 'speak', 'system', 'worsen', 'ofdotype']"
1,1,1,0.9945,"model, task, use, propose, write, paper, system, neural, set, base","['state', 'transducer', 'efficient', 'way', 'represent', 'large', 'area', 'searchspace', 'constrain', 'phrasebase', 'operation', 'composition', 'constrain', 'output', 'neural', 'gec', 'system', 'space', 'm', 'confusion', 'set', 'bryant', 'apply', 'model', 'tech', 'spell', 'checker', 'morphology', 'database', 'rescore', 'countbase', 'neural', 'nlm', 'datum', 'use', 'wordlevel', 'context', 'independent']"
2,2,0,0.9957,"use, model, semantic, task, framework, system, word, propose, lexical, work","['quantification', 'semantic', 'similarity', 'word', 'use', 'evaluate', 'ability', 'system', 'perform', 'semantic', 'interpretation', 'field', 'representation', 'receive', 'heavy', 'attention', 'work', 'popular', 'wordsim', 'semeval', 'baseline', 'evaluation', 'exist', 'thai', 'embed', 'model', 'identify', 'high', 'ratio', 'outofvocabulary', 'word', 'big', 'challenge', 'resultsand', 'atoolfor', 'model', 'available', 'community', 'online', 'help', 'gain', 'broad', 'picture', 'property', 'evaluate', 'embed', 'model']"
3,3,4,0.995,"model, task, text, work, base, project, key, paper, feature, method","['paper', 'focus', 'aim', 'semantic', 'role', 'label', 'label', 'ing', 'model', 'really', 'understand', 'naturallanguage', 'learning', 'model', 'support', 'national', 'key', 'project', 'key', 'project', 'usually', 'partially', 'support', 'national', 'key', 'project', 'suppose', 'relationship', 'suppose', 'relationship', 'key', 'project', 'key', 'project', 'key', 'project', 'key', 'project', 'author', 'paper']"
4,4,0,0.9883,"use, model, semantic, task, framework, system, word, propose, lexical, work","['also', 'new', 'level', 'incorporating', 'advance', 'word', 'main', 'construct', 'use', 'study', 'structure', 'dependency', 'parse', 'tree', 'dependency', 'tree', 'short']"
5,5,3,0.9804,"use, method, sentence, research, classification, task, present, application, learn, model","['arabic', 'popular', 'msa', 'arabicdialectad', 'berevise', 'houda', 'sadaneb', 'faical', 'azouaoua', 'billel', 'douvel']"
6,6,4,0.9938,"model, task, text, work, base, project, key, paper, feature, method","['efficient', 'encoding', 'context', 'speak', 'computationally', 'efficient', 'task', 'make', 'restaurant', 'reservation', 'book', 'son', 'memory', 'networkbase', 'approach', 'work', 'process', 'work', 'work', 'intent', 'work', 'dialogue', 'act', 'slot', 'process', 'intent', 'efficient', 'task', 'reserve', 'table', 'olive', 'garden']"
7,7,0,0.9937,"use, model, semantic, task, framework, system, word, propose, lexical, work","['recent', 'work', 'rer', 'seek', 'make', 'image', 'refer', 'lanophobicguage', 'expression', 'goal', 'gain', 'progressby', 'introduce', 'surprisingly', 'find', 'even', 'sophisticated', 'stateoftheart', 'system', 'involve', 'model', 'task', 'system', 'train', 'test', 'input', 'm', 'agrawaletalet', 'precision', 'top', 'predic', 'actually']"
8,8,0,0.9923,"use, model, semantic, task, framework, system, word, propose, lexical, work","['hybrid', 'wordcharact', 'model', 'abstractive', 'summarization', 'author', 'propose', 'hybrid', 'phrase', 'sequence', 'seq', 'also', 'generate', 'different', 'european', 'language', 'especially', 'new', 'clean', 'lc', 'character', 'representation', 'tation', 'author', 'propose', 'summarization']"
9,9,0,0.9933,"use, model, semantic, task, framework, system, word, propose, lexical, work","['regular', 'expression', 're', 'widely', 'use', 'network', 'task', 'knowledge', 'encode', 're', 'believe', 'go', 'simcentric', 'pattern', 'matching', 'task', 'bind', 'numple', 'pattern', 'match', 'argue', 'information', 'use', 'handle', 'certain', 'case', 'high', 'precision', 'leave', 'method']"
10,10,3,0.9952,"use, method, sentence, research, classification, task, present, application, learn, model","['robot', 'perform', 'simple', 'fetchandcarry', 'task', 'many', 'potential', 'application', 'eldercare', 'describe', 'successfully', 'implement', 'learn', 'new', 'noun', 'verb', 'tabletop', 'setting', 'create', 'learn', 'kernel', 'last', 'explicit', 'programming', 'robot', 'ever', 'need', 'core', 'mechanism', 'eventually', 'use', 'impart', 'vast', 'amount', 'knowledge', 'much', 'child', 'learn', 'parent', 'teacher', 'use', 'explain', 'perform', 'interact', 'user', 'gesture']"
11,11,1,0.9919,"model, task, use, propose, write, paper, system, neural, set, base","['drop', 'network', 'unit', 'timestep', 'oppose', 'dropout', 'destructive', 'naively', 'apply', 'task', 'modeling', 'rnn', 'architecture', 'use', 'modification', 'activation', 'fromht', 'require', 'minimal', 'modification', 'regularization', 'method', 'limit', 'computational', 'capacity', 'rnn']"
