,Filename,Summary,Title,PDF URL,Author,DOI,Published Date,Abstract,Journal Ref,Primary Category,Category,Entry ID,_merge,Dominant_Topic,Perc_Contribution,Topic_Keywords,0
0,1809.09190v1.pdf, in this paper we formulate audio play hot n cold by katy perry set an alarm for 5 pm as a sequencetosequence problem with the widespread adoption of smart devices like google amazon apple microsoft and microsoft the accuracy of asr systems has worsened over the years 6 errors in recognition of spoken language systems worsen 7 weusethewordsemanticstorefertoall three ofdotypes,From Audio to Semantics: Approaches to end-to-end spoken language understanding,http://arxiv.org/pdf/1809.09190v1,"[arxiv.Result.Author('Parisa Haghani'), arxiv.Result.Author('Arun Narayanan'), arxiv.Result.Author('Michiel Bacchiani'), arxiv.Result.Author('Galen Chuang'), arxiv.Result.Author('Neeraj Gaur'), arxiv.Result.Author('Pedro Moreno'), arxiv.Result.Author('Rohit Prabhavalkar'), arxiv.Result.Author('Zhongdi Qu'), arxiv.Result.Author('Austin Waters')]",,2018-09-24 19:46:24+00:00,"Conventional spoken language understanding systems consist of two main
components: an automatic speech recognition module that converts audio to a
transcript, and a natural language understanding module that transforms the
resulting text (or top N hypotheses) into a set of domains, intents, and
arguments. These modules are typically optimized independently. In this paper,
we formulate audio to semantic understanding as a sequence-to-sequence problem
[1]. We propose and compare various encoder-decoder based approaches that
optimize both modules jointly, in an end-to-end manner. Evaluations on a
real-world task show that 1) having an intermediate text representation is
crucial for the quality of the predicted semantics, especially the intent
arguments and 2) jointly optimizing the full system improves overall accuracy
of prediction. Compared to independently trained models, our best jointly
trained model achieves similar domain and intent prediction F1 scores, but
improves argument word error rate by 18% relative.",,eess.AS,"['eess.AS', 'cs.CL', 'cs.SD']",http://arxiv.org/abs/1809.09190v1,both,1,0.99,"model, task, use, propose, write, paper, system, neural, set, base","['paper', 'audio', 'play', 'hot', 'cold', 'set', 'alarm', 'pm', 'problem', 'widespread', 'adoption', 'smart', 'device', 'system', 'worsen', 'year', 'error', 'speak', 'system', 'worsen', 'ofdotype']"
1,1903.10625v2.pdf, finite state transducers fst are an efficient way to represent large areas in natural language processing in searchspaces they constrain phrasebased sta operations like composition and then constrain the output of a neural gec system to that space we show how to im confusion sets bryant and briscoe 2018 by applying modelling tech on spell checkers and morphology databases we rescore it with countbased and neural language nlms data using wordlevel context independent,Neural Grammatical Error Correction with Finite State Transducers,http://arxiv.org/pdf/1903.10625v2,"[arxiv.Result.Author('Felix Stahlberg'), arxiv.Result.Author('Christopher Bryant'), arxiv.Result.Author('Bill Byrne')]",,2019-03-25 23:05:11+00:00,"Grammatical error correction (GEC) is one of the areas in natural language
processing in which purely neural models have not yet superseded more
traditional symbolic models. Hybrid systems combining phrase-based statistical
machine translation (SMT) and neural sequence models are currently among the
most effective approaches to GEC. However, both SMT and neural
sequence-to-sequence models require large amounts of annotated data. Language
model based GEC (LM-GEC) is a promising alternative which does not rely on
annotated training data. We show how to improve LM-GEC by applying modelling
techniques based on finite state transducers. We report further gains by
rescoring with neural language models. We show that our methods developed for
LM-GEC can also be used with SMT systems if annotated training data is
available. Our best system outperforms the best published result on the
CoNLL-2014 test set, and achieves far better relative improvements over the SMT
baselines than previous hybrid systems.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1903.10625v2,both,1,0.9945,"model, task, use, propose, write, paper, system, neural, set, base","['state', 'transducer', 'efficient', 'way', 'represent', 'large', 'area', 'searchspace', 'constrain', 'phrasebase', 'operation', 'composition', 'constrain', 'output', 'neural', 'gec', 'system', 'space', 'm', 'confusion', 'set', 'bryant', 'apply', 'model', 'tech', 'spell', 'checker', 'morphology', 'database', 'rescore', 'countbase', 'neural', 'nlm', 'datum', 'use', 'wordlevel', 'context', 'independent']"
2,1904.04307v1.pdf, the quantification of semantic similarity between words can be used to evaluate the ability of a system to perform semantic interpretation 1 this field of word representations received heavy attention 2 in this work we use the popular wordsim353 simlex999 and semeval2017task2 datasets we include baseline evaluations with existing thai embedding models and identify the high ratio of outofvocabulary words as one of the biggest challenges the datasetsevaluation resultsand atoolfor easyevaluationof newthaiembedding models are available to the nlp community online they help to gain a broader picture of the properties of an evaluated word embedding model,Word Similarity Datasets for Thai: Construction and Evaluation,http://arxiv.org/pdf/1904.04307v1,"[arxiv.Result.Author('Ponrudee Netisopakul'), arxiv.Result.Author('Gerhard Wohlgenannt'), arxiv.Result.Author('Aleksei Pulich')]",,2019-04-08 19:18:09+00:00,"Distributional semantics in the form of word embeddings are an essential
ingredient to many modern natural language processing systems. The
quantification of semantic similarity between words can be used to evaluate the
ability of a system to perform semantic interpretation. To this end, a number
of word similarity datasets have been created for the English language over the
last decades. For Thai language few such resources are available. In this work,
we create three Thai word similarity datasets by translating and re-rating the
popular WordSim-353, SimLex-999 and SemEval-2017-Task-2 datasets. The three
datasets contain 1852 word pairs in total and have different characteristics in
terms of difficulty, domain coverage, and notion of similarity (relatedness
vs.~similarity). These features help to gain a broader picture of the
properties of an evaluated word embedding model. We include baseline
evaluations with existing Thai embedding models, and identify the high ratio of
out-of-vocabulary words as one of the biggest challenges. All datasets,
evaluation results, and a tool for easy evaluation of new Thai embedding models
are available to the NLP community online.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1904.04307v1,both,0,0.9957,"use, model, semantic, task, framework, system, word, propose, lexical, work","['quantification', 'semantic', 'similarity', 'word', 'use', 'evaluate', 'ability', 'system', 'perform', 'semantic', 'interpretation', 'field', 'representation', 'receive', 'heavy', 'attention', 'work', 'popular', 'wordsim', 'semeval', 'baseline', 'evaluation', 'exist', 'thai', 'embed', 'model', 'identify', 'high', 'ratio', 'outofvocabulary', 'word', 'big', 'challenge', 'resultsand', 'atoolfor', 'model', 'available', 'community', 'online', 'help', 'gain', 'broad', 'picture', 'property', 'evaluate', 'embed', 'model']"
3,1809.02794v3.pdf, this paper focuses on the aim of semantic role labeling srl task we show that the salient labels can ing models might not really understand the naturallanguage learning models this paper was supported by the national key project of china noyfbyfb key projects are usually partially supported by national key projects that are supposed to have a relationship that is supposed to be that relationship of key projects to key projects and key projects with key projects the authors of this paper are zhuoshengzhang yuweiwu zuchaoli and liang,Explicit Contextual Semantics for Text Comprehension,http://arxiv.org/pdf/1809.02794v3,"[arxiv.Result.Author('Zhuosheng Zhang'), arxiv.Result.Author('Yuwei Wu'), arxiv.Result.Author('Zuchao Li'), arxiv.Result.Author('Hai Zhao')]",,2018-09-08 12:34:59+00:00,"Who did what to whom is a major focus in natural language understanding,
which is right the aim of semantic role labeling (SRL) task. Despite of sharing
a lot of processing characteristics and even task purpose, it is surprisingly
that jointly considering these two related tasks was never formally reported in
previous work. Thus this paper makes the first attempt to let SRL enhance text
comprehension and inference through specifying verbal predicates and their
corresponding semantic roles. In terms of deep learning models, our embeddings
are enhanced by explicit contextual semantic role labels for more fine-grained
semantics. We show that the salient labels can be conveniently added to
existing models and significantly improve deep learning models in challenging
text comprehension tasks. Extensive experiments on benchmark machine reading
comprehension and inference datasets verify that the proposed semantic learning
helps our system reach new state-of-the-art over strong baselines which have
been enhanced by well pretrained language models from the latest progress.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1809.02794v3,both,4,0.995,"model, task, text, work, base, project, key, paper, feature, method","['paper', 'focus', 'aim', 'semantic', 'role', 'label', 'label', 'ing', 'model', 'really', 'understand', 'naturallanguage', 'learning', 'model', 'support', 'national', 'key', 'project', 'key', 'project', 'usually', 'partially', 'support', 'national', 'key', 'project', 'suppose', 'relationship', 'suppose', 'relationship', 'key', 'project', 'key', 'project', 'key', 'project', 'key', 'project', 'author', 'paper']"
4,1805.01083v1.pdf, the mainconstructusedinextractionlanguagesandsupported 8102 also in kokoisregularexpressionsoverthesurfacetextofasentraction to a new level by incorporating advances in natural langenre words the main construct used in the study is kokosscaleuponacorpusof 5millionwikipediaarticles this structure is reprereprosented as dependency parse trees or dependency trees in short,Scalable Semantic Querying of Text,http://arxiv.org/pdf/1805.01083v1,"[arxiv.Result.Author('Xiaolan Wang'), arxiv.Result.Author('Aaron Feng'), arxiv.Result.Author('Behzad Golshan'), arxiv.Result.Author('Alon Halevy'), arxiv.Result.Author('George Mihaila'), arxiv.Result.Author('Hidekazu Oiwa'), arxiv.Result.Author('Wang-Chiew Tan')]",,2018-05-03 01:57:31+00:00,"We present the KOKO system that takes declarative information extraction to a
new level by incorporating advances in natural language processing techniques
in its extraction language. KOKO is novel in that its extraction language
simultaneously supports conditions on the surface of the text and on the
structure of the dependency parse tree of sentences, thereby allowing for more
refined extractions. KOKO also supports conditions that are forgiving to
linguistic variation of expressing concepts and allows to aggregate evidence
from the entire document in order to filter extractions.
  To scale up, KOKO exploits a multi-indexing scheme and heuristics for
efficient extractions. We extensively evaluate KOKO over publicly available
text corpora. We show that KOKO indices take up the smallest amount of space,
are notably faster and more effective than a number of prior indexing schemes.
Finally, we demonstrate KOKO's scale up on a corpus of 5 million Wikipedia
articles.",,cs.DB,"['cs.DB', 'cs.CL']",http://arxiv.org/abs/1805.01083v1,both,0,0.9883,"use, model, semantic, task, framework, system, word, propose, lexical, work","['also', 'new', 'level', 'incorporating', 'advance', 'word', 'main', 'construct', 'use', 'study', 'structure', 'dependency', 'parse', 'tree', 'dependency', 'tree', 'short']"
5,1903.02784v1.pdf, arabic isrecognisedasthe4th most popular languageoftheinternet arabichasthreemainvarieties classicalarabicca modernstandardarabic msa3arabicdialectad could berevised28 january 2019 writteneitherinarabicorinromanscriptarabiziwhichcorrespondstoarabicwrittenwithlatinletletaccepted17 february 2019 the authors of the journal of king saud university  imane guellila and houda sadaneb faical azouaoua billel guenic damien nouveld douvel,Arabic natural language processing: An overview,http://arxiv.org/pdf/1903.02784v1,"[arxiv.Result.Author('Imane Guellil'), arxiv.Result.Author('Houda Saâdane'), arxiv.Result.Author('Faical Azouaou'), arxiv.Result.Author('Billel Gueni'), arxiv.Result.Author('Damien Nouvel')]",10.1016/j.jksuci.2019.02.006,2019-03-07 09:22:35+00:00,"Arabic is recognised as the 4th most used language of the Internet. Arabic
has three main varieties: (1) classical Arabic (CA), (2) Modern Standard Arabic
(MSA), (3) Arabic Dialect (AD). MSA and AD could be written either in Arabic or
in Roman script (Arabizi), which corresponds to Arabic written with Latin
letters, numerals and punctuation. Due to the complexity of this language and
the number of corresponding challenges for NLP, many surveys have been
conducted, in order to synthesise the work done on Arabic. However these
surveys principally focus on two varieties of Arabic (MSA and AD, written in
Arabic letters only), they are slightly old (no such survey since 2015) and
therefore do not cover recent resources and tools. To bridge the gap, we
propose a survey focusing on 90 recent research papers (74% of which were
published after 2015). Our study presents and classifies the work done on the
three varieties of Arabic, by concentrating on both Arabic and Arabizi, and
associates each work to its publicly available resources whenever available.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1903.02784v1,both,3,0.9804,"use, method, sentence, research, classification, task, present, application, learn, model","['arabic', 'popular', 'msa', 'arabicdialectad', 'berevise', 'houda', 'sadaneb', 'faical', 'azouaoua', 'billel', 'douvel']"
6,1807.00267v1.pdf, an efficient approach to encoding context for spoken language is not computationally efficient for two tasks such as making restaurant reservations or booking sons memory networkbased approaches to multievaluatecontextfrompriorutterancesforslu this is a work that can be processed by work with work with intent and work with dialogue acts and slots 1 that cant be processed with all intent but are more efficient for tasks such as reserving a table for two at olive garden,An Efficient Approach to Encoding Context for Spoken Language Understanding,http://arxiv.org/pdf/1807.00267v1,"[arxiv.Result.Author('Raghav Gupta'), arxiv.Result.Author('Abhinav Rastogi'), arxiv.Result.Author('Dilek Hakkani-Tur')]",,2018-07-01 04:11:18+00:00,"In task-oriented dialogue systems, spoken language understanding, or SLU,
refers to the task of parsing natural language user utterances into semantic
frames. Making use of context from prior dialogue history holds the key to more
effective SLU. State of the art approaches to SLU use memory networks to encode
context by processing multiple utterances from the dialogue at each turn,
resulting in significant trade-offs between accuracy and computational
efficiency. On the other hand, downstream components like the dialogue state
tracker (DST) already keep track of the dialogue state, which can serve as a
summary of the dialogue history. In this work, we propose an efficient approach
to encoding context from prior utterances for SLU. More specifically, our
architecture includes a separate recurrent neural network (RNN) based encoding
module that accumulates dialogue context to guide the frame parsing sub-tasks
and can be shared between SLU and DST. In our experiments, we demonstrate the
effectiveness of our approach on dialogues from two domains.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1807.00267v1,both,4,0.9938,"model, task, text, work, base, project, key, paper, feature, method","['efficient', 'encoding', 'context', 'speak', 'computationally', 'efficient', 'task', 'make', 'restaurant', 'reservation', 'book', 'son', 'memory', 'networkbase', 'approach', 'work', 'process', 'work', 'work', 'intent', 'work', 'dialogue', 'act', 'slot', 'process', 'intent', 'efficient', 'task', 'reserve', 'table', 'olive', 'garden']"
7,1805.11818v1.pdf, recent work on rer has sought to make an image refer to by a natural lanophobicguage expression  with the goal of gaining progressby introducing modelsthatarebettercareferringexpressionrecognition surprisingly we find that even sophisticated and most of the stateoftheart systems involve comipientlinguisticallymotivated models for this task we show that a system trained and tested on the input im agrawaletalets have a precision of 712 in top2 predic actually drivenbysuperficialbiasesindatasetsorations,Visual Referring Expression Recognition: What Do Systems Actually Learn?,http://arxiv.org/pdf/1805.11818v1,"[arxiv.Result.Author('Volkan Cirik'), arxiv.Result.Author('Louis-Philippe Morency'), arxiv.Result.Author('Taylor Berg-Kirkpatrick')]",,2018-05-30 06:03:21+00:00,"We present an empirical analysis of the state-of-the-art systems for
referring expression recognition -- the task of identifying the object in an
image referred to by a natural language expression -- with the goal of gaining
insight into how these systems reason about language and vision. Surprisingly,
we find strong evidence that even sophisticated and linguistically-motivated
models for this task may ignore the linguistic structure, instead relying on
shallow correlations introduced by unintended biases in the data selection and
annotation process. For example, we show that a system trained and tested on
the input image $\textit{without the input referring expression}$ can achieve a
precision of 71.2% in top-2 predictions. Furthermore, a system that predicts
only the object category given the input can achieve a precision of 84.2% in
top-2 predictions. These surprisingly positive results for what should be
deficient prediction scenarios suggest that careful analysis of what our models
are learning -- and further, how our data is constructed -- is critical as we
seek to make substantive progress on grounded language tasks.",,cs.CL,"['cs.CL', 'cs.AI', 'cs.CV', 'cs.NE']",http://arxiv.org/abs/1805.11818v1,both,0,0.9937,"use, model, semantic, task, framework, system, word, propose, lexical, work","['recent', 'work', 'rer', 'seek', 'make', 'image', 'refer', 'lanophobicguage', 'expression', 'goal', 'gain', 'progressby', 'introduce', 'surprisingly', 'find', 'even', 'sophisticated', 'stateoftheart', 'system', 'involve', 'model', 'task', 'system', 'train', 'test', 'input', 'm', 'agrawaletalet', 'precision', 'top', 'predic', 'actually']"
8,1802.09968v2.pdf, a hybrid wordcharacter model for abstractive summarization authors propose a hybrid phrase to sequence seq2seq architecrehensivewordcharacter approach hwc they learnaninternallananreoder hwc approach also generates the different from any european languages especially with the new clean lc in its character representation and word segmenrelatedstsdataset tation the authors propose that this approach is well on the use of a twodecenoderbased summarization,A Hybrid Word-Character Approach to Abstractive Summarization,http://arxiv.org/pdf/1802.09968v2,"[arxiv.Result.Author('Chieh-Teng Chang'), arxiv.Result.Author('Chi-Chia Huang'), arxiv.Result.Author('Chih-Yuan Yang'), arxiv.Result.Author('Jane Yung-Jen Hsu')]",,2018-02-27 15:31:11+00:00,"Automatic abstractive text summarization is an important and challenging
research topic of natural language processing. Among many widely used
languages, the Chinese language has a special property that a Chinese character
contains rich information comparable to a word. Existing Chinese text
summarization methods, either adopt totally character-based or word-based
representations, fail to fully exploit the information carried by both
representations. To accurately capture the essence of articles, we propose a
hybrid word-character approach (HWC) which preserves the advantages of both
word-based and character-based representations. We evaluate the advantage of
the proposed HWC approach by applying it to two existing methods, and discover
that it generates state-of-the-art performance with a margin of 24 ROUGE points
on a widely used dataset LCSTS. In addition, we find an issue contained in the
LCSTS dataset and offer a script to remove overlapping pairs (a summary and a
short text) to create a clean dataset for the community. The proposed HWC
approach also generates the best performance on the new, clean LCSTS dataset.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1802.09968v2,both,0,0.9923,"use, model, semantic, task, framework, system, word, propose, lexical, work","['hybrid', 'wordcharact', 'model', 'abstractive', 'summarization', 'author', 'propose', 'hybrid', 'phrase', 'sequence', 'seq', 'also', 'generate', 'different', 'european', 'language', 'especially', 'new', 'clean', 'lc', 'character', 'representation', 'tation', 'author', 'propose', 'summarization']"
9,1805.05588v1.pdf, regular expressions res are widely used in network modulelevelweshowtoexploitthevarious natural language processing nlp tasks knowledge encoded in res we believe the use of res can go beyond simcentric pattern matching and nlp tasks is bound by the numple pattern matching we argue that such information can be uticentriclearningfor nlps it is used to handle certain cases with high precision leaving therestfordatadriven methods,Marrying up Regular Expressions with Neural Networks: A Case Study for Spoken Language Understanding,http://arxiv.org/pdf/1805.05588v1,"[arxiv.Result.Author('Bingfeng Luo'), arxiv.Result.Author('Yansong Feng'), arxiv.Result.Author('Zheng Wang'), arxiv.Result.Author('Songfang Huang'), arxiv.Result.Author('Rui Yan'), arxiv.Result.Author('Dongyan Zhao')]",,2018-05-15 06:40:44+00:00,"The success of many natural language processing (NLP) tasks is bound by the
number and quality of annotated data, but there is often a shortage of such
training data. In this paper, we ask the question: ""Can we combine a neural
network (NN) with regular expressions (RE) to improve supervised learning for
NLP?"". In answer, we develop novel methods to exploit the rich expressiveness
of REs at different levels within a NN, showing that the combination
significantly enhances the learning effectiveness when a small number of
training examples are available. We evaluate our approach by applying it to
spoken language understanding for intent detection and slot filling.
Experimental results show that our approach is highly effective in exploiting
the available training data, giving a clear boost to the RE-unaware NN.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1805.05588v1,both,0,0.9933,"use, model, semantic, task, framework, system, word, propose, lexical, work","['regular', 'expression', 're', 'widely', 'use', 'network', 'task', 'knowledge', 'encode', 're', 'believe', 'go', 'simcentric', 'pattern', 'matching', 'task', 'bind', 'numple', 'pattern', 'match', 'argue', 'information', 'use', 'handle', 'certain', 'case', 'high', 'precision', 'leave', 'method']"
