Paper ID,Author
0,Emre Erturk
0,Hong Shi
1,Kebing Jin
1,Hankz Hankui Zhuo
2,Leon Derczynski
3,Mirinso Shadang
3,Navanath Saharia
3,Thoudam Doren Singh
4,Kyunghyun Cho
5,Yoav Goldberg
6,Hilaria Cruz
6,Joseph Waring
7,Xiaotian Lin
7,Nankai Lin
7,Kanoksak Wattanachote
7,Shengyi Jiang
7,Lianxi Wang
8,Luis Quesada
8,Fernando Berzal
8,Francisco J. Cortijo
9,Csaba Veres
10,Aviad Rom
10,Kfir Bar
11,Robert ôstling
11,Jîrg Tiedemann
12,Kayo Yin
12,Amit Moryossef
12,Julie Hochgesang
12,Yoav Goldberg
12,Malihe Alikhani
13,Ryder Dale Walton
14,Qingxiu Dong
14,Zhifang Sui
14,Weidong Zhan
14,Baobao Chang
15,Ulfeta A. Marovac
15,Aldina R. Avdi?
15,Nikola Lj. Milo?evi?
16,Yongjun Zhu
16,Erjia Yan
16,Il-Yeol Song
17,Norbert E. Fuchs
17,Rolf Schwitter
18,Benjamin Caulfield
19,Vignav Ramesh
19,Anton Kolonin
20,David Schlangen
21,Peter M. Hines
22,Timotej Knez
22,Marko Bajec
22,Slavko ?itnik
23,Daniel Campos
24,P. Venkata Subba Reddy
25,Hyeok Kong
26,David Awad
27,Ryokan Ri
27,Yoshimasa Tsuruoka
28,Giovanni de Felice
29,Alana Marzoev
29,Samuel Madden
29,M. Frans Kaashoek
29,Michael Cafarella
29,Jacob Andreas
30,Kadir Tohma
30,Yakup Kutlu
31,Anton Loss
32,Tomoyuki Yamakami
32,Yuichi Kato
33,Martin MÅller
33,Florian Laurent
34,Baris Baburoglu
34,Adem Tekerek
34,Mehmet Tekerek
35,Ruth-Ann Armstrong
35,John Hewitt
35,Christopher Manning
36,Fei Yu
36,Hongbo Zhang
36,Prayag Tiwari
36,Benyou Wang
37,Vjacheslav M. Novikov
38,Yabing Zhu
38,Yanfeng Zhang
38,Huili Yang
38,Fangjing Wang
39,Qianying Liu
39,Fei Cheng
39,Sadao Kurohashi
40,Bai Li
41,Donya Quick
41,Clayton T. Morrison
42,Tiantian Gao
43,Marcus Rohrbach
44,Brielen Madureira
44,David Schlangen
45,Colin S. Gordon
45,Sergey Matskevich
46,Viktor Schlegel
46,Kamen V. Pavlov
46,Ian Pratt-Hartmann
47,Grzegorz Chrupa?a
48,Edward Loper
48,Steven Bird
49,Andrew Rafla
49,Casey Kennington
50,Yubo Xie
50,Pearl Pu
51,Shuntaro Takahashi
51,Kumiko Tanaka-Ishii
52,Da Shen
52,Xinyun Chen
52,Chenguang Wang
52,Koushik Sen
52,Dawn Song
53,WonIl Lee
53,Geunbae Lee
53,Jong-Hyeok Lee
54,Masaki Murata
54,Hitoshi Isahara
55,Harinder Singh
55,Parteek Kumar
56,Geunbae Lee
56,Jong-Hyeok Lee
57,Yago Fontenla-Seco
57,Alberto Bugar°n-Diz
57,Manuel Lama
58,Vishal Shukla
59,Zhengqi He
59,Taro Toyoizumi
60,Mu-Tien Kuo
60,Chih-Chung Hsueh
60,Richard Tzong-Han Tsai
61,Heydar Soudani
61,Mohammad Hassan Mojab
61,Hamid Beigy
62,Shunyu Yao
62,Mo Yu
62,Yang Zhang
62,Karthik R Narasimhan
62,Joshua B. Tenenbaum
62,Chuang Gan
63,Chitta Baral
63,Juraj Dzifcak
64,Athira P. M.
64,Sreeja M.
64,P. C. Reghu Raj
65,Catherine Yeo
65,Alyssa Chen
66,Csaba Veres
67,Serhad Sarica
67,Jianxi Luo
68,Joseph Corneli
68,Miriam Corneli
69,Su Lin Blodgett
69,Brendan OConnor
70,Mohammad Nasiruddin
71,Luis Perez
71,Lizi Ottens
71,Sudharshan Viswanathan
72,Karolina Suchowolec
73,Aarne Ranta
74,Tomasz Limisiewicz
74,David Mare?ek
75,Philippe Blache
75,Nabil Hathout
76,Stephen Guy
76,Rolf Schwitter
77,Diksha Khurana
77,Aditya Koli
77,Kiran Khatter
77,Sukhdev Singh
78,B Prabhulla Chandran Pillai
79,Richard Moot
79,Christian RetorÇ
80,Davide Catta
80,Richard Moot
80,Christian RetorÇ
81,Diego R. Amancio
82,Ciprian-Octavian Truic?
82,Julien Velcin
82,Alexandru Boicea
83,David Alfter
84,Zifan Jiang
84,Amit Moryossef
84,Mathias MÅller
84,Sarah Ebling
85,Jessica Ojo
85,Kelechi Ogueji
86,B. Mansurov
86,A. Mansurov
87,Hakime ôztÅrk
87,Arzucan ôzgÅr
87,Philippe Schwaller
87,Teodoro Laino
87,Elif Ozkirimli
88,Diego Alves
88,Gaurish Thakkar
88,Marko Tadi?
89,Shuiyuan Yu
89,Chunshan Xu
89,Haitao Liu
90,Mirzanur Rahman
90,Sufal Das
90,Utpal Sharma
91,C. Maria Keet
91,Langa Khumalo
92,Malgorzata Pikies
92,Andronicus Riyono
92,Junade Ali
93,Ed S. Ma
94,Guy Clarke Marshall
94,Caroline Jay
94,AndrÇ Freitas
95,Prathamesh Kalamkar
95,Janani Venugopalan Ph. D.
95,Vivek Raghavan Ph. D
96,Ethan Wilcox
