Title,PDF URL,DOI,Published Date,Primary Category,Entry ID,Citation Count,Paper ID
natural language processing using hadoop and koshik,http://arxiv.org/pdf/1608.04434v1,,16/08/2016 00:09,cs.CL,http://arxiv.org/abs/1608.04434v1,1,0
simple natural language processing tools for danish,http://arxiv.org/pdf/1906.11608v2,,27/06/2019 14:15,cs.CL,http://arxiv.org/abs/1906.11608v2,1,2
natural language understanding with distributed representation,http://arxiv.org/pdf/1511.07916v1,,24/11/2015 23:23,cs.CL,http://arxiv.org/abs/1511.07916v1,1,4
supporting undotted arabic with pre-trained language models,http://arxiv.org/pdf/2111.09791v1,,18/11/2021 16:47,cs.CL,http://arxiv.org/abs/2111.09791v1,1,10
problems and countermeasures in natural language processing evaluation,http://arxiv.org/pdf/2104.09712v1,,20/04/2021 02:35,cs.CL,http://arxiv.org/abs/2104.09712v1,1,14
a survey of resources and methods for natural language processing of serbian language,http://arxiv.org/pdf/2304.05468v1,,11/04/2023 20:33,cs.CL,http://arxiv.org/abs/2304.05468v1,1,15
natural language generation using link grammar for general conversational intelligence,http://arxiv.org/pdf/2105.00830v1,,19/04/2021 07:16,cs.CL,http://arxiv.org/abs/2105.00830v1,1,19
angler: a next-generation natural language exploratory framework,http://arxiv.org/pdf/2206.08266v1,,10/05/2022 14:32,cs.CL,http://arxiv.org/abs/2206.08266v1,1,22
curriculum learning for language modeling,http://arxiv.org/pdf/2108.02170v1,,04/08/2021 17:53,cs.CL,http://arxiv.org/abs/2108.02170v1,1,23
challenges encountered in turkish natural language processing studies,http://arxiv.org/pdf/2101.11436v1,,21/01/2021 08:30,cs.CL,http://arxiv.org/abs/2101.11436v1,1,30
development of deep learning based natural language processing model for turkish,http://arxiv.org/pdf/1905.05699v1,,07/05/2019 22:09,cs.CL,http://arxiv.org/abs/1905.05699v1,1,34
jampatoisnli: a jamaican patois natural language inference dataset,http://arxiv.org/pdf/2212.03419v1,,07/12/2022 03:07,cs.CL,http://arxiv.org/abs/2212.03419v1,1,35
"natural language reasoning, a survey",http://arxiv.org/pdf/2303.14725v2,,26/03/2023 14:44,cs.CL,http://arxiv.org/abs/2303.14725v2,1,36
file mapping rule-based dbms and natural language processing,http://arxiv.org/pdf/cs/0106016v1,,10/06/2001 15:56,cs.CL,http://arxiv.org/abs/cs/0106016v1,1,37
gancoder: an automatic natural language-to-programming language translation approach based on gan,http://arxiv.org/pdf/1912.00609v1,,02/12/2019 07:41,cs.CL,http://arxiv.org/abs/1912.00609v1,1,38
cross-lingual adaption model-agnostic meta-learning for natural language understanding,http://arxiv.org/pdf/2111.05805v1,,10/11/2021 16:53,cs.CL,http://arxiv.org/abs/2111.05805v1,1,39
integrating linguistic theory and neural language models,http://arxiv.org/pdf/2207.09643v1,,20/07/2022 05:20,cs.CL,http://arxiv.org/abs/2207.09643v1,1,40
an overview of natural language state representation for reinforcement learning,http://arxiv.org/pdf/2007.09774v1,,19/07/2020 21:15,cs.CL,http://arxiv.org/abs/2007.09774v1,1,44
can transformers reason in fragments of natural language?,http://arxiv.org/pdf/2211.05417v1,,10/11/2022 08:46,cs.CL,http://arxiv.org/abs/2211.05417v1,1,46
putting natural in natural language processing,http://arxiv.org/pdf/2305.04572v2,,08/05/2023 10:29,cs.CL,http://arxiv.org/abs/2305.04572v2,1,47
how commonsense knowledge helps with natural language tasks: a survey of recent resources and methodologies,http://arxiv.org/pdf/2108.04674v1,,10/08/2021 14:25,cs.CL,http://arxiv.org/abs/2108.04674v1,1,50
benchmarking language models for code syntax understanding,http://arxiv.org/pdf/2210.14473v1,,26/10/2022 05:47,cs.CL,http://arxiv.org/abs/2210.14473v1,1,52
using the diff command for natural language processing,http://arxiv.org/pdf/cs/0208020v1,,13/08/2002 04:39,cs.CL,http://arxiv.org/abs/cs/0208020v1,1,54
gap analysis of natural language processing systems with respect to linguistic modality,http://arxiv.org/pdf/1504.04716v1,,18/04/2015 14:28,cs.CL,http://arxiv.org/abs/1504.04716v1,1,58
spontaneous emerging preference in two-tower language model,http://arxiv.org/pdf/2210.07041v1,,13/10/2022 14:55,cs.CL,http://arxiv.org/abs/2210.07041v1,1,59
persian natural language inference: a meta-learning approach,http://arxiv.org/pdf/2205.08755v1,,18/05/2022 07:51,cs.CL,http://arxiv.org/abs/2205.08755v1,1,61
linking emergent and natural languages via corpus transfer,http://arxiv.org/pdf/2203.13344v1,,24/03/2022 21:24,cs.CL,http://arxiv.org/abs/2203.13344v1,1,62
language understanding as a step towards human level intelligence - automatizing the construction of the initial dictionary from example sentences,http://arxiv.org/pdf/1108.3848v1,,18/08/2011 21:12,cs.CL,http://arxiv.org/abs/1108.3848v1,1,63
teaching natural language to computers,http://arxiv.org/pdf/1604.08781v2,,29/04/2016 12:36,cs.CL,http://arxiv.org/abs/1604.08781v2,1,68
automatic code generation using pre-trained language models,http://arxiv.org/pdf/2102.10535v1,,21/02/2021 07:21,cs.CL,http://arxiv.org/abs/2102.10535v1,1,71
are style guides controlled languages? the case of koenig & bauer ag,http://arxiv.org/pdf/1406.3460v1,,13/06/2014 10:23,cs.CL,http://arxiv.org/abs/1406.3460v1,1,72
embedded controlled languages,http://arxiv.org/pdf/1406.4057v1,,16/06/2014 17:11,cs.CL,http://arxiv.org/abs/1406.4057v1,1,73
architecture of a web-based predictive editor for controlled natural language processing,http://arxiv.org/pdf/1408.0016v1,,27/06/2014 02:00,cs.CL,http://arxiv.org/abs/1408.0016v1,1,76
an olac extension for dravidian languages,http://arxiv.org/pdf/0908.4431v1,,31/08/2009 00:20,cs.CL,http://arxiv.org/abs/0908.4431v1,1,78
natural language semantics and computability,http://arxiv.org/pdf/1605.04122v1,,13/05/2016 11:46,cs.CL,http://arxiv.org/abs/1605.04122v1,1,79
"logical semantics, dialogical argumentation, and textual entailment",http://arxiv.org/pdf/2008.07138v1,,17/08/2020 09:04,cs.CL,http://arxiv.org/abs/2008.07138v1,1,80
machine translation between spoken languages and signed languages represented in signwriting,http://arxiv.org/pdf/2210.05404v2,,11/10/2022 13:28,cs.CL,http://arxiv.org/abs/2210.05404v2,1,84
parsing of part-of-speech tagged assamese texts,http://arxiv.org/pdf/0912.1820v1,,09/12/2009 18:03,cs.CL,http://arxiv.org/abs/0912.1820v1,1,90
contextualising levels of language resourcedness affecting digital processing of text,http://arxiv.org/pdf/2309.17035v1,,29/09/2023 08:48,cs.CL,http://arxiv.org/abs/2309.17035v1,1,91
investigating masking-based data generation in language models,http://arxiv.org/pdf/2307.00008v1,,16/06/2023 17:48,cs.CL,http://arxiv.org/abs/2307.00008v1,1,93
hierarchical representation in neural language models: suppression and recovery of expectations,http://arxiv.org/pdf/1906.04068v1,,10/06/2019 16:20,cs.CL,http://arxiv.org/abs/1906.04068v1,1,96
