,Title,PDF URL,Author,DOI,Published Date,Summary,Journal Ref,Primary Category,Category,Entry ID
0,Natural Language Processing using Hadoop and KOSHIK,http://arxiv.org/pdf/1608.04434v1,"[arxiv.Result.Author('Emre Erturk'), arxiv.Result.Author('Hong Shi')]",,2016-08-15 23:09:21+00:00,"Natural language processing, as a data analytics related technology, is used
widely in many research areas such as artificial intelligence, human language
processing, and translation. At present, due to explosive growth of data, there
are many challenges for natural language processing. Hadoop is one of the
platforms that can process the large amount of data required for natural
language processing. KOSHIK is one of the natural language processing
architectures, and utilizes Hadoop and contains language processing components
such as Stanford CoreNLP and OpenNLP. This study describes how to build a
KOSHIK platform with the relevant tools, and provides the steps to analyze wiki
data. Finally, it evaluates and discusses the advantages and disadvantages of
the KOSHIK architecture, and gives recommendations on improving the processing
performance.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1608.04434v1
1,Integrating AI Planning with Natural Language Processing: A Combination of Explicit and Tacit Knowledge,http://arxiv.org/pdf/2202.07138v2,"[arxiv.Result.Author('Kebing Jin'), arxiv.Result.Author('Hankz Hankui Zhuo')]",,2022-02-15 02:19:09+00:00,"Natural language processing (NLP) aims at investigating the interactions
between agents and humans, processing and analyzing large amounts of natural
language data. Large-scale language models play an important role in current
natural language processing. However, the challenges of explainability and
complexity come along with the developments of language models. One way is to
introduce logical relations and rules into natural language processing models,
such as making use of Automated Planning. Automated planning (AI planning)
focuses on building symbolic domain models and synthesizing plans to transit
initial states to goals based on domain models. Recently, there have been
plenty of works related to these two fields, which have the abilities to
generate explicit knowledge, e.g., preconditions and effects of action models,
and learn from tacit knowledge, e.g., neural models, respectively. Integrating
AI planning and natural language processing effectively improves the
communication between human and intelligent agents. This paper outlines the
commons and relations between AI planning and natural language processing,
argues that each of them can effectively impact on the other one by five areas:
(1) planning-based text understanding, (2) planning-based natural language
processing, (3) planning-based explainability, (4) text-based human-robot
interaction, and (5) applications. We also explore some potential future issues
between AI planning and natural language processing. To the best of our
knowledge, this survey is the first work that addresses the deep connections
between AI planning and Natural language processing.",,cs.AI,"['cs.AI', 'cs.CL']",http://arxiv.org/abs/2202.07138v2
2,Simple Natural Language Processing Tools for Danish,http://arxiv.org/pdf/1906.11608v2,[arxiv.Result.Author('Leon Derczynski')],,2019-06-27 13:15:12+00:00,"This technical note describes a set of baseline tools for automatic
processing of Danish text. The tools are machine-learning based, using natural
language processing models trained over previously annotated documents. They
are maintained at ITU Copenhagen and will always be freely available.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1906.11608v2
3,Towards the Study of Morphological Processing of the Tangkhul Language,http://arxiv.org/pdf/2006.16212v1,"[arxiv.Result.Author('Mirinso Shadang'), arxiv.Result.Author('Navanath Saharia'), arxiv.Result.Author('Thoudam Doren Singh')]",,2020-06-29 17:24:09+00:00,"There is no or little work on natural language processing of Tangkhul
language. The current work is a humble beginning of morphological processing of
this language using an unsupervised approach. We use a small corpus collected
from different sources of text books, short stories and articles of other
topics. Based on the experiments carried out, the morpheme identification task
using morphessor gives reasonable and interesting output despite using a small
corpus.","In proceeding of Regional International Conference on Natural
  Language Processing (regICON) 2017, 3rd and 4th November 2017, IIIT Senapati,
  Manipur, India",cs.CL,['cs.CL'],http://arxiv.org/abs/2006.16212v1
4,Natural Language Understanding with Distributed Representation,http://arxiv.org/pdf/1511.07916v1,[arxiv.Result.Author('Kyunghyun Cho')],,2015-11-24 23:23:13+00:00,"This is a lecture note for the course DS-GA 3001 <Natural Language
Understanding with Distributed Representation> at the Center for Data Science ,
New York University in Fall, 2015. As the name of the course suggests, this
lecture note introduces readers to a neural network based approach to natural
language understanding/processing. In order to make it as self-contained as
possible, I spend much time on describing basics of machine learning and neural
networks, only after which how they are used for natural languages is
introduced. On the language front, I almost solely focus on language modelling
and machine translation, two of which I personally find most fascinating and
most fundamental to natural language understanding.",,cs.CL,"['cs.CL', 'stat.ML']",http://arxiv.org/abs/1511.07916v1
5,A Primer on Neural Network Models for Natural Language Processing,http://arxiv.org/pdf/1510.00726v1,[arxiv.Result.Author('Yoav Goldberg')],,2015-10-02 20:17:33+00:00,"Over the past few years, neural networks have re-emerged as powerful
machine-learning models, yielding state-of-the-art results in fields such as
image recognition and speech processing. More recently, neural network models
started to be applied also to textual natural language signals, again with very
promising results. This tutorial surveys neural network models from the
perspective of natural language processing research, in an attempt to bring
natural-language researchers up to speed with the neural techniques. The
tutorial covers input encoding for natural language tasks, feed-forward
networks, convolutional networks, recurrent networks and recursive networks, as
well as the computation graph abstraction for automatic gradient computation.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1510.00726v1
6,Deploying Technology to Save Endangered Languages,http://arxiv.org/pdf/1908.08971v2,"[arxiv.Result.Author('Hilaria Cruz'), arxiv.Result.Author('Joseph Waring')]",,2019-08-23 18:31:35+00:00,"Computer scientists working on natural language processing, native speakers
of endangered languages, and field linguists to discuss ways to harness
Automatic Speech Recognition, especially neural networks, to automate
annotation, speech tagging, and text parsing on endangered languages.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1908.08971v2
7,Multilingual Text Classification for Dravidian Languages,http://arxiv.org/pdf/2112.01705v1,"[arxiv.Result.Author('Xiaotian Lin'), arxiv.Result.Author('Nankai Lin'), arxiv.Result.Author('Kanoksak Wattanachote'), arxiv.Result.Author('Shengyi Jiang'), arxiv.Result.Author('Lianxi Wang')]",,2021-12-03 04:26:49+00:00,"As the fourth largest language family in the world, the Dravidian languages
have become a research hotspot in natural language processing (NLP). Although
the Dravidian languages contain a large number of languages, there are
relatively few public available resources. Besides, text classification task,
as a basic task of natural language processing, how to combine it to multiple
languages in the Dravidian languages, is still a major difficulty in Dravidian
Natural Language Processing. Hence, to address these problems, we proposed a
multilingual text classification framework for the Dravidian languages. On the
one hand, the framework used the LaBSE pre-trained model as the base model.
Aiming at the problem of text information bias in multi-task learning, we
propose to use the MLM strategy to select language-specific words, and used
adversarial training to perturb them. On the other hand, in view of the problem
that the model cannot well recognize and utilize the correlation among
languages, we further proposed a language-specific representation module to
enrich semantic information for the model. The experimental results
demonstrated that the framework we proposed has a significant performance in
multilingual text classification tasks with each strategy achieving certain
improvements.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2112.01705v1
8,Fence - An Efficient Parser with Ambiguity Support for Model-Driven Language Specification,http://arxiv.org/pdf/1107.4687v2,"[arxiv.Result.Author('Luis Quesada'), arxiv.Result.Author('Fernando Berzal'), arxiv.Result.Author('Francisco J. Cortijo')]",,2011-07-23 12:56:02+00:00,"Model-based language specification has applications in the implementation of
language processors, the design of domain-specific languages, model-driven
software development, data integration, text mining, natural language
processing, and corpus-based induction of models. Model-based language
specification decouples language design from language processing and, unlike
traditional grammar-driven approaches, which constrain language designers to
specific kinds of grammars, it needs general parser generators able to deal
with ambiguities. In this paper, we propose Fence, an efficient bottom-up
parsing algorithm with lexical and syntactic ambiguity support that enables the
use of model-based language specification in practice.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1107.4687v2
9,A Precis of Language Models are not Models of Language,http://arxiv.org/pdf/2205.07634v1,[arxiv.Result.Author('Csaba Veres')],,2022-05-16 12:50:58+00:00,"Natural Language Processing is one of the leading application areas in the
current resurgence of Artificial Intelligence, spearheaded by Artificial Neural
Networks. We show that despite their many successes at performing linguistic
tasks, Large Neural Language Models are ill-suited as comprehensive models of
natural language. The wider implication is that, in spite of the often
overbearing optimism about AI, modern neural models do not represent a
revolution in our understanding of cognition.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2205.07634v1
