Title,PdfUrl,PublishedDate,PrimaryCategory,PaperId,PublishedYear
a survey of resources and methods for natural language processing of serbian language,http://arxiv.org/pdf/2304.05468v1,11/04/2023 20:33,cs.CL,15,2023
"natural language reasoning, a survey",http://arxiv.org/pdf/2303.14725v2,26/03/2023 14:44,cs.CL,36,2023
putting natural in natural language processing,http://arxiv.org/pdf/2305.04572v2,08/05/2023 10:29,cs.CL,47,2023
fuzzy temporal protoforms for the quantitative description of processes in natural language,http://arxiv.org/pdf/2305.09506v1,16/05/2023 15:59,cs.CL,57,2023
large language models on the chessboard: a study on chatgpt's formal language comprehension and complex reasoning skills,http://arxiv.org/pdf/2308.15118v1,29/08/2023 09:36,cs.CL,60,2023
how good are commercial large language models on african languages?,http://arxiv.org/pdf/2305.06530v1,11/05/2023 03:29,cs.CL,85,2023
contextualising levels of language resourcedness affecting digital processing of text,http://arxiv.org/pdf/2309.17035v1,29/09/2023 08:48,cs.CL,91,2023
investigating masking-based data generation in language models,http://arxiv.org/pdf/2307.00008v1,16/06/2023 17:48,cs.CL,93,2023
"sib-200: a simple, inclusive, and big evaluation dataset for topic classification in 200+ languages and dialects",http://arxiv.org/pdf/2309.07445v1,14/09/2023 06:56,cs.CL,100,2023
xnli 2.0: improving xnli dataset and performance on cross lingual understanding (xlu),http://arxiv.org/pdf/2301.06527v1,16/01/2023 17:24,cs.CL,104,2023
zero-shot cross-lingual transfer language selection using linguistic similarity,http://arxiv.org/pdf/2301.13720v1,31/01/2023 15:56,cs.CL,105,2023
do learned speech symbols follow zipf's law?,http://arxiv.org/pdf/2309.09690v1,18/09/2023 12:56,cs.CL,108,2023
greekbart: the first pretrained greek sequence-to-sequence model,http://arxiv.org/pdf/2304.00869v1,03/04/2023 11:48,cs.CL,115,2023
opportunities for large language models and discourse in engineering design,http://arxiv.org/pdf/2306.09169v1,15/06/2023 15:46,cs.CL,126,2023
"sejarah dan perkembangan teknik natural language processing (nlp) bahasa indonesia: tinjauan tentang sejarah, perkembangan teknologi, dan aplikasi nlp dalam bahasa indonesia",http://arxiv.org/pdf/2304.02746v1,28/03/2023 03:31,cs.CL,136,2023
evolution of natural language processing technology: not just language processing towards general purpose ai,http://arxiv.org/pdf/2310.06228v1,10/10/2023 01:41,cs.CL,137,2023
natural language is all a graph needs,http://arxiv.org/pdf/2308.07134v3,14/08/2023 14:41,cs.CL,142,2023
nlnde at semeval-2023 task 12: adaptive pretraining and source language selection for low-resource multilingual sentiment analysis,http://arxiv.org/pdf/2305.00090v1,28/04/2023 22:02,cs.CL,144,2023
"limit: language identification, misidentification, and translation using hierarchical models in 350+ languages",http://arxiv.org/pdf/2305.14263v1,23/05/2023 18:15,cs.CL,145,2023
swissbert: the multilingual language model for switzerland,http://arxiv.org/pdf/2303.13310v2,23/03/2023 14:44,cs.CL,149,2023
